yday,s1,s2,s3,s4,s5,s6,v1,v2,v3,v4,v5,v6,wday
253,10012,10012,10036,10003,10003,10003,164,44,6,27,54,54,6
254,10003,10014,83,10036,10036,10003,83,28,8,38,53,40,0
255,10036,10002,10003,10001,10011,10016,34,7,9,31,44,47,1
256,10036,10003,10019,10003,10003,10003,48,15,7,52,51,51,2
257,10003,10003,10018,10001,10011,10011,44,15,23,45,49,69,3
258,10003,10009,83,10001,10001,10003,54,16,11,35,45,66,4
259,10019,10019,10020,10001,10003,10003,55,16,10,31,44,59,5
260,10003,10003,10019,10003,10003,10003,111,46,16,25,69,54,6
261,10003,10012,10009,10036,10003,10003,64,42,7,21,58,68,0
262,10003,10024,10036,10001,10003,10003,31,32,10,36,78,65,1
263,10003,10003,10036,10003,10003,10003,36,14,13,36,49,81,2
264,10003,10036,10019,10019,10003,10003,64,12,9,41,54,73,3
265,10003,10014,10019,10036,10019,10003,42,12,6,32,49,79,4
266,10003,10036,10020,10036,10003,10003,77,17,13,47,62,71,5
267,10003,10003,10003,10003,10003,10003,78,37,13,39,66,86,6
268,10003,10003,10019,10036,10003,10003,78,35,10,29,65,67,0
269,10003,10025,10019,10019,10019,10019,45,14,9,84,78,99,1
270,10019,10012,10019,10019,10019,10019,63,10,9,107,126,87,2
271,10003,10019,10019,10019,10019,10003,57,12,8,60,64,82,3
272,10003,10002,10018,10019,10019,10003,66,13,7,81,69,85,4
273,10019,10019,10003,10003,10001,10001,92,25,12,35,50,85,5
274,10003,10003,10019,10001,10003,10003,123,44,9,29,78,96,6
275,10003,10002,10019,10003,10003,10003,95,48,12,27,72,77,0
276,10036,10003,10036,10018,10011,10003,41,9,15,35,36,21,1
277,10065,10014,10022,10001,10003,10003,24,11,14,42,60,35,2
278,10002,10002,10036,10001,10003,10003,20,16,10,40,49,95,3
279,10003,10002,10014,10001,10011,10036,64,20,8,36,59,88,4
280,10003,10018,10018,10018,10018,10018,61,42,18,66,122,102,5
281,10003,10003,10011,10018,10018,10003,103,47,13,100,121,94,6
282,10003,10003,10036,10018,10003,10003,93,42,7,66,106,69,0
283,10003,10025,10020,10019,10003,10003,50,23,22,39,49,73,1
284,10003,10001,10003,10014,10003,10003,57,10,10,35,56,58,2
285,10003,10002,10036,10001,10003,10036,76,20,11,45,48,62,3
286,10003,10012,10022,10001,10012,10003,59,13,10,36,42,44,4
287,10003,10065,10036,10018,10001,10036,64,20,11,35,58,63,5
